,state,fips,cases_one,deaths_one,cases_seven,deaths_seven,population,deaths_diff,deaths_per_capita,cases_diff,cases_per_capita
0,Alabama,1,16032,583,18771,653,4903185,70,1.4276434603222192e-05,2739,0.0005586164911175083
1,Alaska,2,417,8,497,8,731545,0,0.0,80,0.00010935759249260128
2,Arizona,4,17262,831,21250,943,7278717,112,1.5387327189668178e-05,3988,0.0005478987574321133
3,Arkansas,5,6277,120,7818,136,3017804,16,5.301868511009993e-06,1541,0.0005106362109666499
4,California,6,101874,3961,118081,4360,39512223,399,1.0098141023348649e-05,16207,0.000410176871091257
5,Colorado,8,24775,1393,26774,1474,5758736,81,1.4065586614840479e-05,1999,0.0003471247857168656
6,Connecticut,9,41288,3803,42979,3972,3565287,169,4.740151353874176e-05,1691,0.0004742956177160492
7,Delaware,10,9096,344,9685,373,973764,29,2.9781343323433605e-05,589,0.0006048693523276687
8,District of Columbia,11,8406,445,8886,470,705749,25,3.542335872951998e-05,480,0.0006801284876067837
9,Florida,12,52626,2318,57439,2529,21477737,211,9.824126256877064e-06,4813,0.000224092510304973
10,Georgia,13,42713,1904,46063,2070,10617423,166,1.563467896117542e-05,3350,0.00031551912361408224
11,Hawaii,15,634,17,643,17,1415872,0,0.0,9,6.356506802874836e-06
12,Idaho,16,2731,82,2935,83,1787065,1,5.59576736156771e-07,204,0.00011415365417598129
13,Illinois,17,114612,5118,123244,5567,12671821,449,3.543295000773764e-05,8632,0.0006811964910173526
14,Indiana,18,33242,2030,36129,2197,6732219,167,2.480608548236473e-05,2887,0.0004288333460334549
15,Iowa,19,18446,496,20017,564,3155070,68,2.1552612144896943e-05,1571,0.0004979287305828397
16,Kansas,20,9453,207,10143,227,2913314,20,6.865034115787038e-06,690,0.00023684367699465284
17,Kentucky,21,9313,420,10287,451,4467673,31,6.938735220773768e-06,974,0.00021801058403334353
18,Louisiana,22,38694,2722,40857,2835,4648794,113,2.4307379505308258e-05,2163,0.000465281963451166
19,Maine,23,2137,81,2377,94,1344212,13,9.671093547743958e-06,240,0.00017854326549681152
20,Maryland,24,49042,2392,54831,2597,6045680,205,3.390850987812785e-05,5789,0.0009575432374852788
21,Massachusetts,25,94220,6547,101163,7085,6892503,538,7.805582384222393e-05,6943,0.001007326366053087
22,Michigan,26,55544,5334,58680,5562,9986857,228,2.2830005476197366e-05,3136,0.00031401270690067955
23,Minnesota,27,22474,942,25518,1082,5639632,140,2.4824314777985515e-05,3044,0.0005397515298870564
24,Mississippi,28,14044,670,16020,767,2976149,97,3.259245420844185e-05,1976,0.0006639452527410422
25,Missouri,29,12624,705,13822,797,6137428,92,1.4989992550625441e-05,1198,0.0001951957725614052
26,Montana,30,481,17,523,17,1068778,0,0.0,42,3.929721607293563e-05
27,Nebraska,31,12976,168,14611,187,1934408,19,9.82212645936121e-06,1635,0.000845219829529241
28,Nevada,32,8150,402,8858,420,3080156,18,5.843859856448829e-06,708,0.00022985848768698728
29,New Hampshire,33,4286,223,4749,256,1359711,33,2.4269863228288954e-05,463,0.0003405135355969026
30,New Jersey,34,156628,11339,161545,11770,8882190,431,4.852406895146355e-05,4917,0.000553579691495003
31,New Mexico,35,7252,329,8024,367,2096829,38,1.812260322610952e-05,772,0.00036817499185675133
32,New York,36,369801,29339,377881,29847,19453561,508,2.6113470947555566e-05,8080,0.00041534812058316727
33,North Carolina,37,24787,827,30052,950,10488084,123,1.1727594859080076e-05,5265,0.0005019982677484276
34,North Dakota,38,2442,59,2649,68,762062,9,1.1810062698310636e-05,207,0.0002716314420611446
35,Ohio,39,33439,2044,36350,2258,11689100,214,1.830765413932638e-05,2911,0.00024903542616625744
36,Oklahoma,40,6229,322,6692,339,3956971,17,4.29621546379794e-06,463,0.00011700869174932037
37,Oregon,41,4038,148,4335,157,4217737,9,2.1338457092037744e-06,297,7.041690840372455e-05
38,Pennsylvania,42,73646,5290,77315,5670,12801989,380,2.9682887557550626e-05,3669,0.0002865960906543507
39,Puerto Rico,72,3397,129,3935,138,3193694,9,2.818053326336211e-06,538,0.00016845696550765352
40,Rhode Island,44,14353,655,15112,732,1059361,77,7.26853263429558e-05,759,0.0007164696453805643
41,South Carolina,45,10623,466,12415,501,5148714,35,6.7978139784031505e-06,1792,0.0003480480756942413
42,South Dakota,46,4710,54,5067,62,884659,8,9.04303240005471e-06,357,0.00040354532085244146
43,Tennessee,47,21360,353,24498,378,6829174,25,3.6607648304172657e-06,3138,0.0004594992015139752
44,Texas,48,59105,1598,67966,1732,28995881,134,4.621346045667659e-06,8861,0.0003055951291840382
45,Utah,49,8710,105,10237,113,3205958,8,2.4953539628404366e-06,1527,0.0004763006876571683
46,Vermont,50,971,54,988,55,623989,1,1.602592353390845e-06,17,2.7244070007644364e-05
47,Virginia,51,40249,1281,46239,1407,8535519,126,1.4761844007376705e-05,5990,0.0007017733778110037
48,Washington,53,21565,1106,23336,1139,7614893,33,4.333613092134059e-06,1771,0.00023257056927786116
49,West Virginia,54,1899,74,2056,78,1792147,4,2.2319597666932456e-06,157,8.76044208427099e-05
50,Wisconsin,55,16565,539,18949,610,5822434,71,1.2194212935689782e-05,2384,0.00040945075547442873
51,Wyoming,56,860,14,912,17,578759,3,5.183504705758355e-06,52,8.98474148998115e-05
